Batsman,Bowler,0,1,2,3,4,5,6,7+,Wickets,Runs,Balls
AB de Villiers,TM Dilshan,0,2,0,0,0,0,0,0,0,2,2
AB de Villiers,TT Bresnan,1,2,0,0,2,0,1,0,0,16,6
AB de Villiers,Umar Gul,2,1,0,0,0,0,1,0,1,7,4
AB de Villiers,UT Yadav,1,1,0,0,1,0,0,0,0,5,3
AB de Villiers,XJ Doherty,0,3,0,0,0,0,0,0,0,3,3
AB de Villiers,YK Pathan,1,2,0,0,0,0,1,0,0,8,4
AB de Villiers,Yuvraj Singh,1,0,0,0,0,0,0,0,1,0,1
AB de Villiers,Z Khan,16,6,3,0,6,0,0,0,1,36,31
AB Dinda,KA Pollard,0,1,0,0,0,0,0,0,0,1,1
AB Dinda,MG Johnson,3,2,0,0,0,0,0,0,0,2,5
AB Dinda,PV Tambe,3,0,0,0,0,0,0,0,1,0,3
AB Dinda,SL Malinga,2,1,0,0,0,0,0,0,0,1,3
AB Dinda,Sohail Tanvir,0,2,0,0,0,0,0,0,0,2,2
AB Dinda,Umar Gul,1,1,0,0,0,0,0,0,0,1,2
Abdul Razzaq,DT Christian,0,3,0,0,0,0,0,0,0,3,3
Abdul Razzaq,GB Hogg,7,1,0,0,0,0,0,0,0,1,8
Abdul Razzaq,GJ Maxwell,5,1,1,0,0,0,0,0,0,3,7
Abdul Razzaq,Imran Tahir,5,3,0,0,0,0,0,0,1,3,8
Abdul Razzaq,MA Starc,6,1,1,0,1,0,0,0,0,7,9
Abdul Razzaq,PJ Cummins,6,1,1,0,2,0,1,0,2,17,11
Abdul Razzaq,R McLaren,3,2,0,0,1,0,0,0,1,6,6
Abdul Razzaq,SR Watson,3,4,1,0,0,0,0,0,0,6,8
Abdul Razzaq,WD Parnell,2,1,0,0,0,0,0,0,0,1,3
Abdur Rehman,DW Steyn,3,3,0,0,0,0,0,0,0,3,6
Abdur Rehman,Imran Tahir,1,1,0,0,0,0,0,0,0,1,2
Abdur Rehman,WD Parnell,1,3,0,0,0,0,0,0,0,3,4
AC Agar,IS Sodhi,2,2,0,0,0,0,0,0,0,2,4
AC Agar,MJ McClenaghan,2,0,0,0,0,0,0,0,1,0,2
AC Agar,MJ Santner,0,1,0,0,0,0,1,0,0,7,2
AC Voges,AD Mathews,1,2,0,0,0,0,0,0,0,2,3
AC Voges,AD Russell,2,1,0,0,0,0,1,0,0,7,4
AC Voges,BAW Mendis,3,5,1,0,0,0,0,0,0,7,9
AC Voges,DJ Bravo,0,3,0,0,0,0,0,0,0,3,3
AC Voges,DJG Sammy,0,7,2,0,0,0,1,0,0,17,10
AC Voges,KMDN Kulasekara,0,4,1,0,0,0,0,0,0,6,5
AC Voges,N Deonarine,1,2,3,0,1,0,0,0,0,12,7
AC Voges,NLTC Perera,2,3,0,0,0,0,0,0,0,3,5
AC Voges,SL Malinga,1,5,1,0,0,0,0,0,0,7,7
AC Voges,SP Narine,2,1,0,1,0,0,0,0,0,4,4
AC Voges,TL Best,1,2,1,0,1,0,0,0,0,8,5
AD Hales,AB Dinda,4,3,1,0,3,0,0,0,0,17,11
AD Hales,AD Mathews,6,3,1,0,3,0,1,0,0,23,14
AD Hales,AD Russell,3,3,0,0,0,0,1,0,1,9,7
AD Hales,AF Milne,0,3,0,0,1,0,0,0,0,7,4
AD Hales,Anwar Ali,5,5,1,0,0,0,0,0,1,7,11
AD Hales,BAW Mendis,1,5,2,0,1,0,3,0,0,31,12
AD Hales,BE Hendricks,2,1,0,0,2,0,1,0,0,15,6
AD Hales,BJ Hodge,0,1,0,0,0,0,0,0,0,1,1
AD Hales,CH Gayle,2,7,1,0,0,0,0,0,0,9,10
AD Hales,CH Morris,2,2,0,0,1,0,0,0,0,6,5
AD Hales,CJ Anderson,4,1,1,0,1,0,0,0,0,7,7
AD Hales,CR Brathwaite,1,1,0,0,1,0,0,0,0,5,3
AD Hales,D Wiese,0,1,0,0,0,0,0,0,0,1,1
AD Hales,DJ Bravo,9,5,3,1,2,0,1,0,1,28,21
AD Hales,DJG Sammy,8,10,2,0,3,0,1,0,0,32,24
AD Hales,DL Vettori,2,3,0,0,0,0,0,0,0,3,5
AD Hales,DW Steyn,1,5,0,0,3,0,1,0,0,23,10
AD Hales,Fawad Ahmed,2,6,2,0,1,0,0,0,0,14,11
AD Hales,FH Edwards,8,5,2,1,0,0,1,0,0,18,17
AD Hales,GD Elliott,2,2,0,0,0,0,0,0,0,2,4
AD Hales,GJ Maxwell,1,3,1,0,1,0,0,0,0,9,6
AD Hales,Hasan Ali,0,2,0,0,0,0,0,0,0,2,2
AD Hales,HMRKB Herath,4,0,0,0,0,0,0,0,1,0,4
AD Hales,IG Butler,4,3,0,0,6,0,0,0,0,27,13
AD Hales,IK Pathan,2,0,0,0,0,0,0,0,1,0,2
AD Hales,Imad Wasim,3,4,0,0,0,0,0,0,1,4,7
AD Hales,Imran Tahir,2,5,0,0,0,0,0,0,1,5,7
AD Hales,IS Sodhi,1,2,0,0,0,0,0,0,0,2,3
AD Hales,J Botha,0,2,0,0,0,0,0,0,0,2,2
AD Hales,JA Morkel,2,1,2,0,2,0,0,0,0,13,7
AD Hales,JE Taylor,4,1,0,0,0,0,0,0,0,1,5
AD Hales,JEC Franklin,0,3,1,0,0,0,0,0,0,5,4
AD Hales,JP Duminy,3,1,0,0,2,0,0,0,0,9,6
AD Hales,JP Faulkner,4,5,1,0,4,0,1,0,1,29,15
AD Hales,JR Hazlewood,9,1,2,0,2,0,0,0,2,13,14
AD Hales,K Rabada,7,4,0,0,3,0,1,0,0,22,15
AD Hales,K Santokie,4,5,1,0,2,0,0,0,0,15,12
AD Hales,KA Pollard,0,2,1,0,1,0,0,0,0,8,4
AD Hales,KD Mills,3,0,0,1,0,0,0,0,1,3,4
AD Hales,KJ Abbott,7,2,2,0,2,0,0,0,1,14,13
AD Hales,KMDN Kulasekara,5,6,2,0,2,0,3,0,0,36,18
AD Hales,KV Sharma,2,1,0,0,1,0,0,0,0,5,4
AD Hales,M Morkel,2,1,0,0,0,0,0,0,0,1,3
AD Hales,MA Starc,5,4,0,0,1,0,0,0,0,8,10
AD Hales,MC Henriques,1,1,0,0,0,0,0,0,1,1,2
AD Hales,MG Johnson,7,4,0,0,4,0,1,0,0,26,16
AD Hales,MJ McClenaghan,14,7,1,1,5,0,5,0,1,62,33
AD Hales,MJ Santner,8,3,1,0,1,0,1,0,2,15,14
AD Hales,MM Sharma,5,1,1,0,1,0,1,0,0,13,9
AD Hales,MN Samuels,4,5,4,0,1,0,2,0,1,29,16
AD Hales,Mohammad Amir,2,3,1,0,3,0,0,0,0,17,9
AD Hales,Mohammed Shami,1,3,0,0,0,0,0,0,0,3,4
AD Hales,NL McCullum,4,12,0,0,2,0,0,0,1,20,18
AD Hales,NLTC Perera,0,6,1,0,5,0,0,0,0,28,12
AD Hales,NM Coulter-Nile,11,6,3,0,8,0,0,0,1,44,28
AD Hales,P Awana,2,1,1,0,2,0,0,0,0,11,6
AD Hales,PJ Cummins,3,0,0,0,0,0,0,0,1,0,3
AD Hales,PP Chawla,3,3,1,0,3,0,0,0,0,17,10
AD Hales,R Ashwin,5,9,0,0,3,0,3,0,0,39,20
AD Hales,R Rampaul,6,12,3,1,0,0,3,0,1,39,25
AD Hales,RA Jadeja,4,4,0,0,1,0,2,0,1,20,11
AD Hales,RAS Lakmal,4,3,0,0,1,0,1,0,0,13,9
AD Hales,RJ Peterson,1,0,0,0,2,0,0,0,0,8,3
AD Hales,RM Hira,8,6,0,0,3,0,0,0,2,18,17
AD Hales,S Badree,19,15,0,0,7,0,0,0,1,43,41
AD Hales,Shahid Afridi,1,0,0,0,0,0,0,0,1,0,1
AD Hales,SJ Benn,2,2,0,0,0,0,0,0,1,2,4
AD Hales,SL Malinga,10,7,2,0,4,0,0,0,2,27,23
AD Hales,SMSM Senanayake,5,11,4,0,2,0,0,0,0,27,22
AD Hales,Sohail Tanvir,3,6,1,0,4,0,0,0,0,24,14
AD Hales,SP Narine,6,13,4,0,3,0,0,0,0,33,26
AD Hales,SR Watson,1,2,1,0,0,0,0,0,0,4,4
AD Hales,SS Cottrell,1,6,0,0,0,0,0,0,1,6,7
AD Hales,TA Boult,5,3,2,0,1,0,2,0,0,23,13
AD Hales,TG Southee,2,4,2,0,3,0,0,0,0,20,11
AD Hales,V Kohli,0,2,0,0,0,0,0,0,0,2,2
AD Hales,Wahab Riaz,0,2,0,0,0,0,0,0,0,2,2
